                            title                            |                                                                             text                                                                              |                                                                                                                                                                                                descr                                                                                                                                                                                                 
 Prodekani, vedúci katedier a gestori štúdia                 | Návrhy a konštruktívne pripomienky pre prodekanov, vedúcich katedier a gestorov štúdia                                                                        | 
 Vyjadrenie k niečomu, na čo nebola položená otázka          |                                                                                                                                                               | 
 Prístup k študentom                                         | Ohodnoťte, aká je kvalita starostlivosti vyučujúceho o študentov.                                                                                             | Pozerajte sa na dostupnosť a kvalitu študijnej literatúry, či je vyučujúci zastihnuteľný počas konzultačných hodín a či sú vám návštevy u neho na niečo prospešné. Prihliadnite aj na to, či vyučujúci svojvoľne nemenil pravidlá hodnotenia počas semestra a či bolo od začiatku jasné, za čo budú získavané body.
 Tútor                                                       | Ohodnoťte, aká je kvalita starostlivosti tútora o študentov.                                                                                                  | Pomohol Vám tútor so zostavovaním Vášho študijného plánu? Je Váš tútor zastihnuteľný?
 Garant                                                      | Ohodnoťte, ako sa stará garant o kvalitu Vášho študijného programu.                                                                                           | Stalo sa Vám, že niektorý predmet nemal kto učiť? Ste dostatočne informovaní o obsahu záverečných (štátnych) skúšok? Počúva garant Vaše návrhy na zlepšenie študijného programu? Zaznamenali ste nejaké pozitívne zmeny v obsahu vyučovaných predmetov alebo v personálnom obsadení výučby?
 Komentár k tútorovi, garantovi a vedúcim katedier           |                                                                                                                                                               | 
 Celkové hodnotenie                                          | Zhodnoťte Vašu spokojnosť s ponúkanými možnosťami zahraničného štúdia a spolupráce so zahraničnými inštitúciami.                                              | 
 Štúdium v zahraničí                                         | Mali by ste záujem zúčastniť sa študijného pobytu v zahraničí (napr. cez program Erasmus/Socrates)?                                                           | 
 Cudzie jazyky                                               | Ako hodnotíte rozsah a kvalitu jazykovej prípravy na fakulte? Uvítali by ste štúdium niektorých alebo všetkých predmetov študijného programu v cudzom jazyku? | 
 Komentár                                                    |                                                                                                                                                               | 
 Software                                                    | Aké programové vybavenie Vám chýba v počítačových učebniach?                                                                                                  | 
 Spolahlivosť poskytovaných služieb                          | Slovne zhodnoťe stabilitu a dostupnosť služieb - internetové pripojenie, servery, e-maily                                                                     | 
 Nové IT služby                                              | Privítali by ste rozšírenie elektronických informačných (IT) služieb na fakulte?                                                                              | Elektronické rozvrhy, zapisovanie predmetov, zápis, prihlasovanie na skúšky, podávanie žiadosti o internát cez internet, atď.
 Web                                                         | Ako hodnotíte web fakulty?                                                                                                                                    | Myslite na prehľadnosť a aktuálnosť poskytovaných informácií a na to, či je ich dostatok. Zhodnotťe, ako Vám vyhovuje navigácia a štruktúra webu a či sa Vám páči jeho celkový vzhľad.
 Návrhy a pripomienky ku počítačovému vybaveniu a IT službám |                                                                                                                                                               | 
 Čo očakávate od ankety?                                     | svet bude krajší, drevené lavice nebudú tvrdé, v škole bude teplo                                                                                             | 
 Prístupnosť                                                 | Ako hodnotíte prístupnosť študijného oddelenia?                                                                                                               | Zohľadnite otváracie hodiny, priebeh zápisu, priestory, formu podávania informácií, mieru informatizácie, komnukáciu študijného oddelenia s Vami počas štúdia (napr. e-mailom), a pod.
 Komentár k vyučujúcemu                                      |                                                                                                                                                               | 
 Odporúčanie                                                 | Odporúčali by ste tento predmet svojim kolegom?                                                                                                               | 
 Účasť                                                       |  Zhodnoťte, ako často ste počas semestra navštevovali tento predmet.                                                                                          | 
 Komentár k predmetu                                         |                                                                                                                                                               | 
 Knižnica - učebnice k predmetu                              | Aké učebnice užitočné pri štúdiu tohoto predmetu Vám v knižnici chýbajú?                                                                                      | 
 Komentár k študijnému programu                              |                                                                                                                                                               | 
 Čo by ste zmenili?                                          |                                                                                                                                                               | Predstavte si, že by sa prodekan pre štúdium rozhodol, že pokusne spraví jeden vážny zásah do štúdia. V tej chvíli by ale nemal žiadny dobrý nápad. Ako by tak išiel po chodbe, stretol by práve Vás. Opýtal by sa úplne vážnym tónom hlasu: "Povedzte mi jednu zmenu týkajúcu sa jedného predmetu alebo jedného vyučujúceho a pokiaľ to bude uskutočniteľné, tak hneď ju vykonám!" Navrhnite niečo.
 Predmety nezahrnuté v študijnom programe                    | Zapísali ste si niektorý predmet z iného študijného programu?                                                                                                 | Ako študent UK máte možnosť si v rámci voliteľných predmetov  zvoliť aj predmety z iných odborov, či fakúlt UK. Využili ste už túto možnosť?
 Kvalita ubytovania                                          | Zhodnoťte kvalitu ubytovania na internátoch                                                                                                                   | 
 Komentár k internátom                                       |                                                                                                                                                               | 
 Rozubytovanie                                               | Vyjadrite svoju spokojnosť s rozubytovaním                                                                                                                    | 
 Ubytovacia komisia                                          | Vaše hodnotenie práce ubytovacej komisie                                                                                                                      | 
 Náročnosť štúdia                                            | Nakoľko je Váš študijný program pre Vás náročný?                                                                                                              | 
 Predmety študijného programu                                | Zhodnoťte, či sú vo Vašom študijnom programe zaradené vhodné predmety.                                                                                        | Zohľadnite, či sú podľa Vás niektoré predmety zbytočné alebo naopak Vám nejaké chýbajú. Prihliadnite aj na využitie nadobudnutých znalostí vo vašom ďalšom štúdiu a v praxi.
 Otázky, pripomienky a návrhy pre organizátorov ankety       | Pripomienky ku kladeným otázkam, pravopisným chybám, návrhy na nové otázky, návrhy na odstránenie otázok                                                      | 
 Výber študijného programu                                   | Prečo ste sa rozhodli pre štúdium Vášho odboru?                                                                                                               | 
 Očakávania                                                  | Aké boli Vaše predstavy o Vašom bakalárskom študijnom programe?                                                                                               | 
 Realita                                                     | Ako sa tieto predstavy naplnili, resp. nenaplnili.                                                                                                            | 
 Čo by ste zmenili?                                          |                                                                                                                                                               | 
 Návrhy a pripomienky k priestorom okolo školy               |                                                                                                                                                               | 
 Celkové hodnotenie                                          | Ako hodnotíte knižnicu, jej kvalitu a množstvo užitočných kníh?                                                                                               | Spomeňte si na množstvo a dostupnosť kníh, ktoré ste potrebovali, otváracie hodiny, možnosti štúdia v priestoroch knižnice, na personál knižnice, atď.
 Návrhy a pripomienky ku knižnici                            | Literatúra z ktorej oblasti Vám najviac v knižnici chýba? Chýba Vám niektorá konkrétna kniha? Napíšte aká!                                                    | 
 Dianie na škole                                             | Zaujíma vás, čo sa deje na škole, čo nové sa chystá a čo robí vedenie školy pre študentov a učiteľov?                                                         | 
 Beánia FMFI                                                 | K tohtoročnej Beánii FMFI (22.11.2007) chcem povedať                                                                                                          | Hodnotenie lokality, času, programu, kapiel, tomboly či iné konštruktívne nápady
 QuickStart Guide                                            | Vaše pripomienky k <a href="http://skas.fmph.uniba.sk/skas/fmfi_guide/FMFI_QuickStart_Guide_2007_2008.pdf" target="_blank">QuickStart Guide</a>               | 
 Miestnosť pre študentov                                     | Ako by ste využili miestnosť v škole určenú výhradne na študentské úcely?                                                                                     | 
 Zmeny k lepšiemu                                            | Čo by ste na škole zmenili, aby ste sa tu cítili lepšie?                                                                                                      | 
 Priložiť ruku k dielu                                       | Pre zlepšenie kvality života na škole ste ochotní:                                                                                                            | 
 Voľné pripomienky                                           |                                                                                                                                                               | 
 Hodnotenie celého štúdia                                    | Ako celkovo hodnotíte štúdium na našej fakulte?                                                                                                               | 
 Uplatnenie v praxi                                          | Ako významne Vám pomohlo absolvovanie štúdia na našej fakulte pri uplatnení na trhu práce.                                                                    | 
 Vaše smerovanie v praxi                                     | V akej oblasti sa chystáte zamestnať a nakoľko súvisí s odborom, ktorý ste študovali?                                                                         | 
 Očakávaný nástupný plat                                     | Aká je očakávaná výška Vášho nástupného mesačného platu? (v Sk)                                                                                               | 
 Posluchárne a učebne                                        | Ako hodnotíte posluchárne a ostatné priestory určené na výuku?                                                                                                | Zohľadnite kvalitu lavíc, osvetlenia, kúrenia, tabúľ, atď.
 Okolie školy                                                | Ako hodnotíte priestory pred školou a okolo školy?                                                                                                            | Čistota, využitie, neoficiálny chodník, údržba v lete, údržba v zime, atď.
 Nové priestory                                              | Privítali by ste vytvorenie miestnosti, kde by sa študenti mohli pripravovať na vyučovanie a tráviť voľný čas medzi hodinami?                                 | 
 Priestory pre študentov                                     | Ako hodnotíte priestory na chodbách (lavičky, parapetné dosky, stoličky) slúžiace na štúdium a oddych mimo vyučovania?                                        | Zohľadnite možnosti na  samostatné/skupinové štúdium, na oddych, možnosti na sedenie mimo prednáškových miestností.
 Pripomienky k priestorom pre študentov                      |                                                                                                                                                               | 
 Bufety                                                      | Ako hodnotíte kvalitu bufetov na škole?                                                                                                                       | Ceny, obsluha, kvalita tovaru, návrhy a pripomienky.
 Jedáleň na fakulte                                          | Ako hodnotíte novozrekonštruovanú jedáleň v bloku F1, po novom dostupnú aj študentom?                                                                         | 
 Toalety                                                     | Slovne ohodnoťte priestory a stav toaliet.                                                                                                                    | 
 Návrhy a pripomienky                                        |                                                                                                                                                               | 
 Kritériá pridelovania                                       | Vaše návrhy na úpravu procesu pridelovania internátov a ubytovania.                                                                                           | Úprava kritérií pre tvorbu rebríčka žiadateľov, modifikátory, spôsob rozubytovania. Rozubytovávať na izby (napr. s internetom) podľa rebríčka alebo minimalizovať sťahovanie?
 Komentár k ubytovacej komisii                               |                                                                                                                                                               | Vaša spokojnosť s komunikaciou a riešením problémov ubytovacou komisiou.
(77 rows)

